rs10004195	Helicobacter pylori serologic status
rs6499640	Weight
rs6499766	Thyroid hormone levels
rs650258	Multiple sclerosis
rs6503659	Esophageal cancer (squamous cell)
rs6503905	Circulating myeloperoxidase levels (plasma)
rs6504950	Breast cancer
rs6505987	PR interval in Tripanosoma cruzi seropositivity
rs651007	E-selectin levels
rs651007	End-stage coagulation
rs651007	Metabolite levels
rs651007	Serum alkaline phosphatase levels
rs6510827	Vitiligo
rs651164	Prostate cancer
rs6511720	Abdominal aortic aneurysm
rs6511720	Cardiovascular disease risk factors
rs6511720	Cholesterol, total
rs6511720	LDL cholesterol
rs6511720	Lipid metabolism phenotypes
rs6511720	Lipoprotein-associated phospholipase A2 activity and mass
rs6511720	Metabolite levels
rs6517656	Glycemic traits (pregnancy)
rs651821	Lipid metabolism phenotypes
rs651821	Lipid traits
rs651821	Triglycerides
rs6519955	Dupuytrens disease
rs652722	Body mass index
rs652888	Chronic hepatitis B infection
rs653178	Blood pressure
rs653178	Celiac disease
rs653178	Celiac disease and Rheumatoid arthritis
rs653178	Chronic kidney disease
rs653178	Diastolic blood pressure
rs653178	Serum thyroid peroxidase antibody positivity
rs653178	Urate levels
rs6532023	Bone mineral density
rs6532194	Parkinsons disease
rs653465	Breast cancer (early onset)
rs6536024	Venous thromboembolism
rs6537825	Autism
rs6540223	Axial length
rs6543833	Ovarian reserve
rs6544713	LDL cholesterol
rs6545800	Inflammatory bowel disease
rs6545814	Body mass index
rs6545816	F-cell distribution
rs6545946	Crohns disease
rs6546847	Urinary metabolites (H-NMR features)
rs6546857	Metabolite levels  (X-11787)
rs654723	Height
rs6547705	Progressive supranuclear palsy
rs6548238	Body mass index
rs6550435	Bipolar disorder
rs6550435	Schizophrenia
rs6556412	Crohns disease
rs6556416	Ankylosing spondylitis
rs6558295	Metabolic traits
rs6558872	Schizophrenia, schizoaffective disorder or bipolar disorder
rs6564851	Carotenoid and tocopherol levels
rs6565681	Moyamoya disease
rs6565887	Renal transplant outcome
rs6567160	Body mass index
rs6567160	Fat body mass
rs6568401	Primary tooth development (time to first tooth eruption)
rs6568421	Crohns disease
rs6568421	Inflammatory bowel disease
rs6569474	Metabolite levels
rs6569648	Height
rs6569992	Red blood cell traits
rs6570507	Height
rs6570507	Scoliosis
rs657075	Rheumatoid arthritis
rs657152	Liver enzyme levels
rs657152	Obesity-related traits
rs657152	Phytosterol levels
rs657152	Serum alkaline phosphatase levels
rs657152	Thyroid hormone levels
rs657152	Urinary metabolites (H-NMR features)
rs6573333	Immune reponse to smallpox (secreted IFN-alpha)
rs6575793	Menarche (age at onset)
rs6576132	Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)
rs6576443	Immune reponse to smallpox (secreted IFN-alpha)
rs6581612	Hippocampal volume
rs6583437	IgG glycosylation
rs6584283	Ulcerative colitis
rs6585424	Chronic obstructive pulmonary disease-related biomarkers
rs6586030	Inflammatory bowel disease
rs6586282	Homocysteine levels
rs6589566	LDL cholesterol
rs6589566	Triglycerides
rs6589964	Menarche (age at onset)
rs6590330	Systemic lupus erythematosus
rs6592362	Inflammatory bowel disease
rs6596140	Hypertension
rs6598541	Urate levels
rs6599175	Multiple myeloma (hyperdiploidy)
rs6599388	Parkinsons disease
rs6599389	Parkinsons disease
rs6601299	Coronary heart disease
rs6601530	Carotid intima media thickness
rs660240	Cardiovascular disease risk factors
rs660240	LDL cholesterol
rs660895	IgA nephropathy
rs660895	Rheumatoid arthritis
rs662138	Metabolic traits
rs662799	Lipid traits
rs664910	Venous thromboembolism (gene x gene interaction)
rs6651252	Crohns disease
rs665440	Myopia (pathological)
rs6656401	Alzheimers disease
rs6656401	Alzheimers disease (late onset)
rs6661961	Atopic dermatitis
rs6662509	Height
rs6666258	Atrial fibrillation
rs6671200	Stearic acid (18:0) plasma levels
rs6675668	Stearic acid (18:0) plasma levels
rs6677604	Nephropathy
rs6678914	Breast cancer
rs6679677	Crohns disease
rs6679677	Hypothyroidism
rs6679677	Rheumatoid arthritis
rs6679677	Type 1 diabetes
rs6684205	Height
rs6684514	Glycated hemoglobin levels
rs6684514	Mean corpuscular hemoglobin concentration
rs668459	Mean corpuscular hemoglobin
rs668459	Mean corpuscular volume
rs6686842	Height
rs6687758	Colorectal cancer
rs6687758	Progressive supranuclear palsy
rs6687813	D-dimer levels
rs6691170	Colorectal cancer
rs6695223	Venous thromboembolism (gene x gene interaction)
rs669607	Multiple sclerosis
rs6696981	Bone mineral density (spine)
rs6699417	Height
rs6700896	C-reactive protein
rs6701713	Alzheimers disease (late onset)
rs6703183	Amyotrophic lateral sclerosis
rs6703335	Schizophrenia
rs6703335	Schizophrenia, schizoaffective disorder or bipolar disorder
rs6703865	Hippocampal atrophy
rs6704644	Bilirubin levels
rs670523	Inflammatory bowel disease
rs6705628	Systemic lupus erythematosus
rs671	Alcohol consumption (maxi-drinks)
rs671	Alcohol dependence
rs671	Coronary heart disease
rs671	Drinking behavior
rs671	Esophageal cancer
rs671	Hematological and biochemical traits
rs671	Mean corpuscular hemoglobin concentration
rs671	Renal function-related traits (sCR)
rs671	Response to alcohol consumption (flushing response)
rs6710518	Bone mineral density
rs6710823	Parkinsons disease
rs6711012	Obesity
rs6711016	Metabolic syndrome
rs6711736	Hypertension (young onset)
rs6714546	Height
rs6715284	Rheumatoid arthritis
rs6716753	Crohns disease
rs6717858	Sexual dimorphism in anthropometric traits
rs6717918	Height
rs6718520	Multiple sclerosis
rs6720394	Primary sclerosing cholangitis
rs6722456	Palmitoleic acid (16:1n-7) plasma levels
rs6723108	Type 2 diabetes
rs6724465	Height
rs67250450	Rheumatoid arthritis
rs6725887	Coronary artery disease
rs6725887	Coronary heart disease
rs6725887	Myocardial infarction (early onset)
rs6728021	Immune response to smallpox vaccine (IL-6)
rs6731302	Obesity
rs6732565	Rheumatoid arthritis
rs6733839	Alzheimers disease (late onset)
rs6734238	C-reactive protein
rs6734238	Fibrinogen
rs673548	Lipid metabolism phenotypes
rs673548	Metabolic syndrome
rs673548	Metabolic traits
rs673548	Metabolite levels
rs6736587	Orthostatic hypotension
rs6738028	Dehydroepiandrosterone sulphate levels
rs6738825	Crohns disease
rs6738962	Alzheimers disease (cognitive decline)
rs6740462	Inflammatory bowel disease
rs6741751	Migraine
rs6741751	Migraine - clinic-based
rs6741751	Migraine without aura
rs67418890	Lipid metabolism phenotypes
rs6742078	Bilirubin levels
rs6742078	Circulating cell-free DNA
rs674313	Chronic lymphocytic leukemia
rs6743376	Inflammatory biomarkers
rs6747023	Addiction
rs6747972	Restless legs syndrome
rs6750795	Height
rs675209	Urate levels
rs6754295	HDL cholesterol
rs6754295	Lipid metabolism phenotypes
rs6754295	Triglycerides
rs6756629	Cholesterol, total
rs6756629	LDL cholesterol
rs6757804	Endometriosis
rs6759952	Thyroid cancer
rs676210	LDL (oxidized)
rs676210	Lipid metabolism phenotypes
rs6762477	Menarche (age at onset)
rs6762644	Breast cancer
rs6763048	PR interval
rs6763931	Height
rs6763931	Prostate cancer
rs6769511	Type 2 diabetes
rs6770152	Urate levels
rs6771316	Venous thromboembolism (gene x gene interaction)
rs6771725	Venous thromboembolism (gene x gene interaction)
rs6773854	B cell non-Hodgkin lymphoma
rs6773931	Height
rs6773957	Adiponectin levels
rs6774494	Nasopharyngeal carcinoma
rs6775899	Aging (facial)
rs6776003	Red blood cell traits
rs6778194	Immune reponse to smallpox (secreted IFN-alpha)
rs6782025	Aging (facial)
rs678347	Rheumatoid arthritis
rs6784615	Waist-hip ratio
rs6788895	Breast cancer
rs6789378	Coronary heart disease
rs678962	Height
rs6790925	Migraine - clinic-based
rs6793295	Interstitial lung disease 
rs6795735	Age-related macular degeneration
rs6795970	Electrocardiographic conduction measures
rs6795970	Electrocardiographic traits
rs6800541	PR interval
rs6801957	P wave duration
rs6801957	PR interval
rs6801957	PR segment
rs6801957	QRS duration
rs680379	Sphingolipid levels
rs6804441	Systemic lupus erythematosus
rs6805251	HDL cholesterol
rs6808574	Type 2 diabetes
rs6810075	Adiponectin levels
rs6812193	Parkinsons disease
rs6812849	Post-traumatic stress disorder
rs6813195	Type 2 diabetes
rs6815464	Type 2 diabetes
rs6815916	Venous thromboembolism (gene x gene interaction)
rs6817105	Atrial fibrillation
rs6822844	Celiac disease
rs6825911	Blood pressure
rs6827815	Bone mineral density
rs6828523	Breast cancer
rs6830062	Height
rs6831256	Cholesterol, total
rs6831256	LDL cholesterol
rs6831256	Triglycerides
rs6832151	Graves disease
rs6832439	Serum uric acid levels
rs6834314	Liver enzyme levels (alanine transaminase)
rs6837335	Crohns disease
rs6841581	Coronary artery disease or large artery stroke
rs6841898	Myopia (pathological)
rs6842241	Intracranial aneurysm
rs684232	Prostate cancer
rs6843082	Atrial fibrillation
rs6843082	Stroke (ischemic)
rs6845078	Height
rs6846071	C-reactive protein and white blood cell count
rs6854783	Height
rs6855629	Height
rs6855911	Urate levels
rs6856616	Crohns disease
rs6857	Alzheimers disease (age of onset)
rs6857	Alzheimers disease biomarkers
rs6857559	Myopia (pathological)
rs6858430	Venous thromboembolism (gene x gene interaction)
rs6858698	Chronic lymphocytic leukemia
rs6859	Alzheimers disease
rs6859219	Rheumatoid arthritis
rs6861681	Waist-hip ratio
rs6863411	Inflammatory bowel disease
rs6869841	Prostate cancer
rs6871626	Inflammatory bowel disease
rs6871626	Ulcerative colitis
rs687289	Coagulation factor levels
rs687289	Urinary metabolites (H-NMR features)
rs687621	Activated partial thromboplastin time
rs687621	Venous thromboembolism
rs6878284	Schizophrenia
rs6879260	Height
rs6882076	Cholesterol, total
rs6882076	LDL cholesterol
rs6882076	Triglycerides
rs6882776	Heart rate
rs6885099	Thyroid hormone levels
rs6888304	Liver enzyme levels (gamma-glutamyl transferase)
rs689	Type 1 diabetes autoantibodies
rs6890853	Primary biliary cirrhosis
rs6892884	Height
rs6893300	Resting heart rate
rs6894139	Bone mineral density
rs6897932	Multiple sclerosis
rs6900341	Metabolite levels
rs6901250	C-reactive protein
rs6903608	Hodgkins lymphoma
rs6903823	Pulmonary function
rs6904416	C-reactive protein and white blood cell count
rs6905288	Coronary heart disease
rs6906287	Electrocardiographic conduction measures
rs6908425	Crohns disease
rs6909279	Bone mineral density
rs6910071	Rheumatoid arthritis
rs6911490	Ulcerative colitis
rs6911965	Hematological and biochemical traits
rs6918152	Black vs. blond hair color
rs6918936	Phospholipid levels (plasma)
rs6918981	Height
rs6919346	Lp (a) levels
rs6920220	Inflammatory bowel disease
rs6920220	Rheumatoid arthritis
rs6920220	Ulcerative colitis
rs6922269	Coronary heart disease
rs6922617	Alzheimers disease biomarkers
rs6927022	Ulcerative colitis
rs6929137	Bone mineral density (spine)
rs693	Cholesterol, total
rs693	LDL cholesterol
rs6931262	Waist-hip ratio
rs6931514	Birth weight
rs6931514	Type 2 diabetes
rs6932590	Schizophrenia
rs6932730	Allergic sensitization
rs6938239	Height
rs6939340	Neuroblastoma
rs6943029	Platelet aggregation
rs6943555	Alcohol consumption
rs694419	Serum albumin level
rs6945541	Male-pattern baldness
rs694739	Crohns disease
rs6947830	Metabolic syndrome
rs6957923	Height
rs6959212	Bone mineral density
rs6959212	Height
rs6964969	Acute lymphoblastic leukemia (childhood)
rs6967330	Asthma (childhood, severe)
rs6968865	Coffee consumption
rs6974491	Primary biliary cirrhosis
rs6975557	Femoral neck bone geometry and menarche (age at onset)
rs6976053	Plasminogen activator inhibitor type 1 levels (PAI-1)
rs6982636	Lipid metabolism phenotypes
rs6983267	Colorectal cancer
rs6983267	Prostate cancer
rs6983267	Prostate cancer (early onset)
rs6983561	Prostate cancer
rs6984305	Liver enzyme levels (alkaline phosphatase)
rs6987702	Cholesterol, total
rs6993770	Platelet counts
rs6993770	Vascular endothelial growth factor levels
rs6993813	Bone mineral density (hip)
rs6995402	Platelet counts
rs7004633	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs7004633	Schizophrenia
rs700585	Platelet counts
rs700651	Intracranial aneurysm
rs7006527	Basal cell carcinoma 
rs700752	Insulin-like growth factors
rs7009110	Asthma and hay fever
rs7010162	Testicular germ cell tumor
rs7014346	Colorectal cancer
rs7015630	Crohns disease
rs7015657	Migraine with aura
rs7018475	Type 2 diabetes
rs7019259	Venous thromboembolism (gene x gene interaction)
rs7020673	Type 1 diabetes
rs7023329	Melanoma
rs702485	HDL cholesterol
rs7025162	Serum alkaline phosphatase levels
rs7025486	Abdominal aortic aneurysm
rs702634	Type 2 diabetes
rs7027110	Height
rs702873	Psoriasis
rs7032572	Self-reported allergy
rs7034200	Fasting glucose-related traits
rs703842	Multiple sclerosis
rs7040024	Testicular cancer
rs704010	Breast cancer
rs7041	Serum vitamin D-binding protein levels
rs704178	Hippocampal sclerosis of aging
rs7041847	Type 2 diabetes
rs7042950	Refractive error
rs7044529	Central corneal thickness
rs7044529	Corneal structure
rs705117	Serum vitamin D-binding protein levels
rs705702	Polycystic ovary syndrome
rs706778	Rheumatoid arthritis
rs706779	Vitiligo
rs7068966	Pulmonary function
rs7068966	Pulmonary function (interaction)
rs7071206	Bone mineral density
rs7072216	Metabolite levels
rs7072268	Glycated hemoglobin levels
rs7072776	Breast cancer
rs7075195	Mean platelet volume
rs7076156	Crohns disease
rs7077335	Myopia (pathological)
rs7078012	Chronic obstructive pulmonary disease-related biomarkers
rs7078160	Orofacial clefts
rs7081208	Alzheimers disease
rs708382	Platelet counts
rs7084402	Refractive error
rs7084921	Bone mineral density
rs7085104	Schizophrenia
rs7085433	Mean corpuscular hemoglobin
rs7085433	Mean corpuscular volume
rs7086803	Lung cancer
rs7088969	Homeostasis model assessment of beta-cell function (interaction)
rs7089424	Acute lymphoblastic leukemia (childhood)
rs7089814	Breast size
rs7090445	Acute lymphoblastic leukemia (B-cell precursor)
rs7090512	Multiple sclerosis
rs7090871	Corneal structure
rs7094971	Metabolic traits
rs7097397	Systemic lupus erythematosus
rs710446	Activated partial thromboplastin time
rs7105056	Immune reponse to smallpox (secreted IL-12p40)
rs710521	Bladder cancer
rs710521	Urinary bladder cancer
rs7105934	Renal cell carcinoma
rs710841	Height
rs7108738	Bone mineral density
rs7111341	Type 1 diabetes
rs7112513	Protein quantitative trait loci
rs7112925	Height
rs7117082	Amyotrophic lateral sclerosis (sporadic)
rs7117858	Bone mineral density (hip)
rs7120118	HDL cholesterol
rs7120391	Red blood cell traits
rs7120482	Adverse response to radiation therapy
rs7126629	Prostate cancer (early onset)
rs7127900	Prostate cancer
rs7129220	Diastolic blood pressure
rs7129220	Systolic blood pressure
rs712964	Metabolite levels
rs7130284	Homocysteine levels
rs7130588	Asthma
rs7130588	Atopic dermatitis
rs7130881	Prostate cancer
rs7134375	HDL cholesterol
rs7134594	HDL cholesterol
rs7134599	Inflammatory bowel disease
rs7134599	Ulcerative colitis
rs713586	Body mass index
rs713598	Bitter taste response
rs7136259	Coronary heart disease
rs7136716	Hematological and biochemical traits
rs713875	Crohns disease
rs7138803	Body mass index
rs7138803	Obesity
rs71390846	Bone mineral density
rs714052	Triglycerides
rs7141420	Obesity
rs7141529	Prostate cancer
rs7142143	Acute lymphoblastic leukemia (childhood)
rs7149242	Platelet counts
rs715	Fibrinogen
rs715	Metabolite levels
rs71508903	Rheumatoid arthritis
rs7151526	Antineutrophil cytoplasmic antibody-associated vasculitis 
rs7152623	Aortic stiffness
rs7153027	Height
rs7153749	Venous thromboembolism (gene x gene interaction)
rs7155279	Height
rs7155454	Red blood cell traits
rs7157785	Sphingolipid levels
rs7159888	N-glycan levels
rs71607999	Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)
rs716274	Small-cell lung cancer (survival)
rs7164883	Atrial fibrillation
rs7169431	Chronic lymphocytic leukemia
rs7172432	Type 2 diabetes
rs7172677	Systemic lupus erythematosus and Systemic sclerosis
rs7173743	Coronary artery disease
rs7173947	Hematological and biochemical traits
rs7173964	Fasting glucose-related traits (interaction with BMI)
rs7176508	Chronic lymphocytic leukemia
rs7178424	Height
rs7178572	Type 2 diabetes
rs7181230	Dehydroepiandrosterone sulphate levels
rs7182874	Relative hand skill in reading disability
rs718314	Renal cell carcinoma
rs718444	Height
rs7184597	Obesity
rs7185735	Obesity
rs7186908	Liver enzyme levels (alkaline phosphatase)
rs7188445	Urate levels
rs7188697	QT interval
rs7189020	Mean corpuscular volume
rs7193343	Atrial fibrillation
rs7193778	Urate levels
rs719714	Cognitive function
rs719726	Triglycerides
rs7197475	Systemic lupus erythematosus
rs7200543	Metabolic traits
rs7200786	Multiple sclerosis
rs7202116	Body mass index
rs7202877	Type 1 diabetes
rs7203560	Hematology traits
rs7203560	Mean corpuscular hemoglobin
rs7203560	Mean corpuscular hemoglobin concentration
rs7203560	Mean corpuscular volume
rs7203560	Sickle cell anemia (haemolysis)
rs720390	Height
rs7204230	Fibrinogen
rs720475	Breast cancer
rs7206971	Cholesterol, total
rs7206971	LDL cholesterol
rs7210086	Ulcerative colitis
rs7210100	Prostate cancer
rs721048	Prostate cancer
rs7212938	Asthma and hay fever
rs7216064	Lung adenocarcinoma
rs7216389	Asthma
rs7217932	Bone mineral density
rs7219669	Cardiac repolarization
rs7221059	Pulmonary emphysema
rs7221109	Type 1 diabetes
rs7224610	Urate levels
rs7224668	IgG glycosylation
rs7227483	Renal function-related traits (BUN)
rs7228085	Lipid metabolism phenotypes
rs7229639	Colorectal cancer
rs7232775	Metabolite levels
rs7238033	Bladder cancer
rs7238078	Multiple sclerosis
rs7240004	Inflammatory bowel disease
rs724016	Height
rs7240405	HDL cholesterol
rs7240777	Thyroid hormone levels
rs7241918	Cholesterol, total
rs7241918	HDL cholesterol
rs7241993	Prostate cancer
rs724577	Birth weight
rs724577	Height
rs7248104	Triglycerides
rs7255045	Mean corpuscular volume
rs7255436	HDL cholesterol
rs7258249	Sphingolipid levels
rs7259004	Sphingolipid levels
rs726288	Rheumatoid arthritis
rs72634030	Rheumatoid arthritis
rs726640	C-reactive protein
rs72669744	Lipid metabolism phenotypes
rs7267979	Liver enzyme levels (alkaline phosphatase)
rs72699186	Asthma and hay fever
rs7270101	Chronic hepatitis C infection
rs727088	Inflammatory bowel disease
rs727428	Androgen levels
rs727428	Sex hormone-binding globulin levels
rs7274581	Alzheimers disease (late onset)
rs7274811	Height
rs7275212	White blood cell types
rs727957	Electrocardiographic traits
rs72823592	Epilepsy (generalized)
rs7282490	Inflammatory bowel disease
rs72829446	Androgen levels
rs72832584	Alzheimers disease (cognitive decline)
rs728616	Chronic obstructive pulmonary disease-related biomarkers
rs728996	Weight loss (gastric bypass surgery)
rs729302	Systemic lupus erythematosus
rs7294919	Brain structure
rs7294919	Hippocampal volume
rs729761	Urate levels
rs72977016	Bipolar disorder (body mass index interaction)
rs73013527	Rheumatoid arthritis
rs7301826	Plasma plasminogen activator levels
rs730497	Glycated hemoglobin levels
rs7305618	C-reactive protein
rs7305618	Type 2 diabetes
rs7307780	Sudden cardiac arrest
rs73081554	Rheumatoid arthritis
rs7309	Educational attainment
rs7310409	C-reactive protein
rs7310409	Liver enzyme levels (gamma-glutamyl transferase)
rs7312105	Red blood cell traits
rs7314056	Urinary metabolites (H-NMR features)
rs7317038	Mean platelet volume
rs73175262	Obesity-related traits
rs731839	Adiponectin levels
rs731839	HDL cholesterol
rs731839	Triglycerides
rs7319045	Height
rs73194058	Rheumatoid arthritis
rs7323755	Myopia (pathological)
rs7329174	Crohns disease
rs7329174	Systemic lupus erythematosus
rs7332115	Height
rs7333181	Menopause (age at onset)
rs7335046	Basal cell carcinoma 
rs7336933	Calcium levels
rs73376930	Colorectal cancer
rs7342306	Platelet counts
rs734553	Serum uric acid levels
rs734553	Uric acid levels
rs734597	Obesity (extreme)
rs7349332	Common traits (Other)
rs734999	Ulcerative colitis
rs7350481	Hematological and biochemical traits
rs7350481	Triglycerides
rs735396	N-glycan levels
rs735665	Chronic lymphocytic leukemia
rs735665	Follicular lymphoma
rs7359397	Body mass index
rs736289	Crohns disease
rs736825	Bone mineral density
rs737092	Red blood cell traits
rs737267	Urate levels
rs737337	HDL cholesterol
rs738409	Liver enzyme levels (alanine transaminase)
rs738409	Nonalcoholic fatty liver disease
rs7385804	Hematocrit
rs7385804	Hematological parameters
rs7385804	Iron levels
rs738722	Esophageal cancer and gastric cancer
rs738968	Immune reponse to smallpox (secreted TNF-alpha)
rs739496	Platelet counts
rs7395662	HDL cholesterol
rs73963343	PR interval in Tripanosoma cruzi seropositivity
rs7396835	Quantitative traits
rs740160	Dehydroepiandrosterone sulphate levels
rs74019828	Telomere length
rs7403531	Type 2 diabetes
rs7404095	Inflammatory bowel disease
rs740495	Crohns disease
rs7410943	End-stage coagulation
rs7412	Hippocampal atrophy
rs7412	LDL cholesterol
rs7412	Lipid metabolism phenotypes
rs7412	Lipid traits
rs7412	Response to statin therapy (LDL-C)
rs7412746	Melanoma
rs741702	Red blood cell traits
rs742071	Orofacial clefts
rs742132	Uric acid levels
rs7423615	Crohns disease
rs7428796	Myopia (pathological)
rs744166	Crohns disease
rs744166	Multiple sclerosis
rs7442295	Urate levels
rs744373	Alzheimers disease
rs744373	Alzheimers disease (late onset)
rs7445832	Alcohol and nictotine co-dependence
rs744910	Asthma
rs7453920	Chronic hepatitis B infection
rs7453920	Hepatitis B
rs7460090	Height
rs7464572	Fibrinogen
rs7466269	Height
rs7475343	Intelligence
rs747650	Acne (severe)
rs7481584	Calcium levels
rs7495132	Inflammatory bowel disease
rs7498665	Body mass index
rs7498665	Obesity
rs7498665	Weight
rs7499271	Serum metabolite levels
rs7499892	Lipid metabolism phenotypes
rs7501939	Prostate cancer
rs7503807	Obesity
rs750460	Height
rs7504990	Gallbladder cancer
rs7507204	Height
rs751543	Height
rs7515577	Cholesterol, total
rs751728	Crohns disease
rs7517810	Crohns disease
rs7517847	Crohns disease
rs7518099	Intraocular pressure
rs752092	Corneal structure
rs7521902	Bone mineral density
rs7521902	Endometriosis
rs7522462	Multiple sclerosis
rs7524102	Bone mineral density (hip)
rs7524102	Bone mineral density (spine)
rs7524102	Dupuytrens disease
rs7524102	Ulcerative colitis
rs7527798	Erythrocyte sedimentation rate
rs7527939	Schizophrenia
rs7528419	Lipoprotein-associated phospholipase A2 activity and mass
rs7528684	Type 1 diabetes autoantibodies
rs7529925	Red blood cell traits
rs7531118	Obesity
rs7531806	Acne (severe)
rs7532866	Height
rs7533254	Intelligence
rs7534091	Height
rs753760	Thyroid hormone levels
rs7538876	Basal cell carcinoma 
rs753955	Lung cancer
rs754388	Chronic obstructive pulmonary disease (moderate to severe)
rs754388	Chronic obstructive pulmonary disease (severe)
rs754466	Liver enzyme levels (gamma-glutamyl transferase)
rs75493593	Type 2 diabetes
rs7550918	Platelet counts
rs7552186	Height
rs7553007	C-reactive protein
rs7553007	C-reactive protein levels
rs755383	Testicular cancer
rs755383	Testicular germ cell cancer
rs755383	Testicular germ cell tumor
rs7554182	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs7554511	Inflammatory bowel disease
rs7554511	Ulcerative colitis
rs7555523	Intraocular pressure
rs7557067	Triglycerides
rs7559271	Facial morphology
rs7560163	Type 2 diabetes
rs7561317	Body mass index
rs7561317	Weight
rs7561528	Alzheimers disease
rs7561528	Alzheimers disease (late onset)
rs7563911	Intelligence
rs7565981	Creutzfeldt-Jakob disease (variant)
rs7567288	Height
rs7567851	Height
rs7568498	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs7570971	Cholesterol, total
rs7571816	Height
rs7571971	Progressive supranuclear palsy
rs757210	Ovarian cancer
rs7572482	Behcets disease
rs75727053	Antibody status in Tripanosoma cruzi seropositivity
rs7574070	Behcets disease
rs7574865	Celiac disease and Rheumatoid arthritis
rs7574865	Hepatocellular carcinoma (hepatitis B virus related)
rs7574865	Systemic lupus erythematosus
rs7574865	Systemic sclerosis
rs757608	Height
rs757647	Menarche (age at onset)
rs7577262	Blood pressure measurement (cold pressor test)
rs7577696	Inflammatory biomarkers
rs7578326	Type 2 diabetes
rs7578597	Type 2 diabetes
rs7579899	Renal cell carcinoma
rs7579944	Celiac disease and Rheumatoid arthritis
rs7582720	Coronary artery disease or ischemic stroke
rs7582720	Coronary artery disease or large artery stroke
rs7583877	Type 1 diabetes nephropathy
rs7584262	Bone mineral density
rs7584330	Prostate cancer
rs7586879	Body mass index
rs7587026	Mesial temporal lobe epilepsy with hippocampal sclerosis
rs7587476	Neuroblastoma
rs7590268	Orofacial clefts
rs7590720	Alcohol dependence
rs7591996	Osteosarcoma
rs75932628	Alzheimers disease
rs7593730	Type 2 diabetes
rs7594321	Pulmonary function (interaction)
rs7595	Obesity-related traits
rs7595037	Multiple sclerosis
rs7600502	C-reactive protein and white blood cell count
rs7601754	Systemic lupus erythematosus and Systemic sclerosis
rs7605378	Osteoporosis
rs7606754	Corneal structure
rs7607980	Fasting insulin-related traits (interaction with BMI)
rs7608910	Inflammatory bowel disease
rs7608910	Ulcerative colitis
rs7611694	Prostate cancer
rs7612445	Heart rate
rs7612463	Type 2 diabetes
rs7613051	Atopic dermatitis
rs7616006	Platelet counts
rs7616215	Behcets disease
rs761746	Intelligence
rs7617480	Menarche (age at onset)
rs7618915	Bipolar disorder
rs7620503	Corneal structure
rs762421	Crohns disease
rs7628864	Pubertal anthropometrics
rs7632427	Orofacial clefts
rs763361	Type 1 diabetes
rs763361	Type 1 diabetes autoantibodies
rs763780	Response to gemcitabine in pancreatic cancer 
rs7638110	Obesity and blood pressure
rs7640543	Migraine
rs7640978	Cholesterol, total
rs7640978	LDL cholesterol
rs7641175	Platelet counts
rs76418789	Crohns disease
rs7642134	Menarche (age at onset)
rs76439045	PR interval in Tripanosoma cruzi seropositivity
rs7647305	Body mass index
rs7647305	Weight
rs7648704	Venous thromboembolism (gene x gene interaction)
rs7651446	Ovarian cancer
rs7652177	Height
rs7652995	IgG glycosylation
rs7656416	Type 2 diabetes
rs7657746	Inflammatory bowel disease
rs7658486	Immune reponse to smallpox (secreted IL-12p40)
rs7659024	Venous thromboembolism
rs7660702	Electrocardiographic traits
rs766432	Beta thalassemia/hemoglobin E disease
rs766432	Fetal hemoglobin levels
rs7665090	Primary biliary cirrhosis
rs7669317	Response to antipsychotic therapy (extrapyramidal side effects)
rs7671167	Chronic obstructive pulmonary disease
rs7671266	Cardiovascular disease risk factors
rs7673097	Coronary heart disease
rs7677751	Corneal astigmatism
rs7678436	Height
rs7679	HDL cholesterol
rs7679	Triglycerides
rs7679673	Prostate cancer
rs7680468	Telomere length
rs7681423	Fibrinogen
rs7682241	Alopecia areata
rs7686660	Asthma
rs7689420	Height
rs7692808	PR interval
rs7694379	Platelet counts
rs769449	Alzheimers disease biomarkers
rs769449	C-reactive protein
rs769449	Cognitive decline (age-related)
rs7697556	Height
rs7697839	Coronary heart disease
rs7698250	Pulmonary emphysema
rs7702331	Crohns disease
rs7703051	LDL cholesterol
rs7705924	Crohns disease
rs7708584	Body mass index
rs7709645	Schizophrenia
rs7714584	Crohns disease
rs7714670	Venous thromboembolism (gene x gene interaction)
rs771767	Multiple sclerosis
rs7717823	Urinary metabolites (H-NMR features)
rs7720838	Self-reported allergy
rs7726354	Breast cancer (early onset)
rs773125	Rheumatoid arthritis
rs7731626	Rheumatoid arthritis
rs7733088	Airflow obstruction 
rs7735940	Hypertension
rs7739264	Endometriosis
rs7741021	Bone properties (heel)
rs7741741	Height
rs7742369	Height
rs7743761	Ankylosing spondylitis
rs7744813	Refractive error
rs7745098	Hodgkins lymphoma
rs7745274	Waist-hip ratio
rs7746082	Crohns disease
rs7747752	Glycated hemoglobin levels
rs7748513	C-reactive protein
rs7752903	Rheumatoid arthritis
rs7754840	Diabetes (gestational)
